은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,대출,Ⅶ 주택담보노후연금대출용 대출거래약정서,11,은행여신거래기본약관(가계용)의 적용,"1. 본 약정서에 추가하여 은행여신거래기본약관(가계용)이 적용됩니다. 추후 은행여신거래기본약관(가계용)이 변경될 경우에는 변경된 바에 따릅니다.
2. 주택담보노후연금대출에 있어서는 제6조 각호의 사유에 해당이 되지 않으면 은행여신거래기본약관상(가계용)의 기한의 이익 상실 사유가 발생하더라도  제3조에서
정한 대출금을 계속 지급할 수 있도록 합니다. 단, 본인이 공사의 승낙을 받아 지급정지를 요청하는 경우에는 지급정지 할 수 있습니다.
수입인지 붙이는 곳
대출거래약정서(Ⅶ) (주택담보노후연금대출용)
(작성일자 : 20 . . )
본인은 주식1.
대하여 충분
본인은 개인(2.
변동금리대출3.
하였습니다.
본인은 한국4.
전부 또는 일
상환할 것을
본 인
주 소"
KB_bank,대출,Ⅶ 주택담보노후연금대출용 대출거래약정서,1,거래조건 (거래방식이 수 개로 되어 있는 경우 은행 직원의 설명을 듣고 해당되는 “□”내에 “∨”표시합니다.),"① 대출과목(
③  대출(한도)
④ 대 출 개 시
⑤ 대 출 기
⑦ 대 출 이
⑧이  자 율
계 산 방
⑨ 대 출 실 행
⑩ 이 자납
상 환 방
⑪ 약정한도
및
약정기간연
⑫ 이자의 계
및
지 급 방
⑬ 서 면 통
생 략 신
※ 은행영업시간 마감이후 자동화기기 또는 전자금융매체를 통한 계좌입금분은 당일 중 상환으로 처리되지 않을 수 있음을 유의하시기 바랍니다.
※ 대출만료일이 토요일 또는 공휴일인 경우 그 만료일은 토요일 또는 공휴일로 하되, 상환기일은 은행의 다음영업일로 이연되며, 이연기간의  이자는 약정이자로 부담하기로 합니다"
KB_bank,대출,Ⅶ 주택담보노후연금대출용 대출거래약정서,3,대출금의 범위,"본인이 부담하는 제1조 제3항의 대출금은 다음 각호의 대출금을 합한 금액으로 합니다.
1.본인에게 매월 연금방식으로 지급하는 월 지급금
2.본인이 미리 설정한 개별인출한도금액 범위내에서 지급하는 개별인출금
3.제4조에 의해 공사에 납부할 초기보증료 및 연(또는 월) 보증료에 해당하는 대출금
4.제1호 내지 제3호의 대출금잔액에 대하여 제1조 제7항에서 정한 이자율을 적용하여 산출한 이자액"
KB_bank,대출,Ⅶ 주택담보노후연금대출용 대출거래약정서,4,보증료의 납부,"1. 제3조 제3호에 의거 공사에 납부할 보증료가 발생하는 경우 본인 부담으로 대출금을 발생시켜 공사가 정하는 요율과 계산방법에 따라 다음 각호에서 정한 시기에  직접
공사 계좌로 이체합니다.
① 초기보증료 : 최초 대출금실행시 1회
②. 연 보증료 : 개별인출금 지급일 및 매 월지급금 지급 해당일마다
2. 제1항의 보증료는 제1항의 납부기일 현재의 보증부대출 잔액에 대하여 선불로 하되, 해당 대출실행일에 대출원리금에 가산합니다.
3. 보증료 납부일이 은행휴무일(법정공휴일, 근로자의 날, 토요일 등)인 경우에는 직전영업일에 납부하기로 합니다."
KB_bank,대출,Ⅶ 주택담보노후연금대출용 대출거래약정서,5,대출이자율의 적용 및 변동,"1. 대출이자율의 적용
제1조 제7항의 대출이자율은 대출약정일을 기준으로 산정된 금리입니다. 대출을 실행하는 날에 제2항의「MOR」 또는「COFIX」변동 등의 사유로 이 대출에 적용할 금리가
변동될 수 있습니다. 이 경우에는 실제 적용할 대출이자율을 대출거래장에 표시하고, 개별통지는 생략합니다.
2. 대출이자율의 구성요소
①「MOR」:「MOR」은 「CD 91일물 유통수익률」을 사용합니다. 현재 은행이 사용하는「CD91일물 유통수익률」의 금리재산정주기는 “3개월”이고 대출실행일 및 그 날로부터
매3개월이 되는 날 각각에 대해 직전 3영업일간 금융투자협회가 고시하는 CD91일물 종가 유통수익률의 산술평균 수익률입니다. 이「MOR」의 적용기준은 금융환경의 변화(예 :
91일물 CD 거래 없음) 등 불가피한 사정이 발생할 경우 변경될 수 있습니다. 이 경우 은행은 영업점 게시판, 인터넷 매체 등을 통해 고시하기로 합니다.
※ CD 91일물 유통수익률이란 신용평가회사로부터 AAA이상의 신용등급을 받은 시중은행이 발행한 만기가 91일(만기가 80일 이상 100일 이내면 만기 91일로 본다)인
CD의 발행수익률로서 기초자료 제출기관이 금융투자협회에 제출한 기초수익률을 기반으로 협회가 산출한 수익률입니다.
※ 「금융거래지표의 관리에 관한 법률」에 따른 CD수익률 산출업무 중단시 비상계획
CD수익률이 산출되지 않아 대체금리로 전환하는 절차(예시) : 사용기관은 홈페이지에 산출업무 중단 사유 및 내용, 기간 등을 공시하며, CD수익률을 대체할 수 있는 수익률  
및 선정근거 등을 고객에게 안내하는 조치를 취합니다.
CD수익률이 산출되지 않는 비상상황이 발생한 경우, 홈페이지 공시를 통해 CD수익률 산출중단 사실에 대해 안내해드립니다. 
②「COFIX」:「COFIX」는 대출실행일 직전 영업일 전국은행연합회에 최종 고시되어 있는 「신규취급액기준 COFIX」 금리를 적용합니다. 이 「COFIX」의 적용 기준은
금융환경의변화(예 : COFIX 전국은행연합회 고시 없음) 등 불가피한 사정이 발생할 경우 변경될 수 있습니다. 이 경우 은행은 영업점 게시판, 인터넷 매체 등을 통해 고시하기로
합니다.
③( )% :「MOR」,「COFIX」에 더하여 적용될 율을 대출약정일 현재를 기준으로 표기한 것이며, 대출실행일에 결정된 율은 제1조 제6항의 대출만료일까지  적용됩니다. 이율은
법령에 의해 세금이나 신용보증기금출연료 등이 신설 또는 변경될 경우에 한해 변동될 수 있습니다.
3. 대출이자율의 변동
대출실행일에 결정된 대출이자율은 「MOR」인 경우 3개월 주기, 「신규취급액기준 COFIX」인 경우 6개월 주기로 금리를 재산정하며, 제2항 제1호,제2호 금리
재산정주기에「MOR」,「신규취급액기준 COFIX」가 변동되는 경우 대출이자율도 이에 연동되어 「MOR」인 경우 매 3개월 ,「신규취급액기준 COFIX」인 경우 매 6개월마다
변동됩니다."
KB_bank,대출,Ⅶ 주택담보노후연금대출용 대출거래약정서,6,대출금 지급의 조기만료,"본 대출을 받고 본인에게 다음 각 호의 사유 중 하나라도 발생한 경우 은행으로부터 독촉, 통지 등이 없어도 본인은 당연히 은행에 대한 당해 채무의 기한의 이익을
상실하여 곧 이를 갚아야 할 의무를 지며, 제1조 제5항 또는 제6항의 대출만료일에 불구하고 제1조 제9항의 대출금 지급이 조기에 종료되고, 은행은 즉시 공사에
보증채무이행을 청구할 수 있습니다.
1. 본인 및 배우자가 모두 사망한 경우
2. 본인이 사망한 후 배우자가 단독명의로 6월 이내에 담보주택의 소유권이전등기(신탁계약에 따른 주택담보노후연금보증부 대출의 경우는 제외한다.) 및  채권자에 대한
보증부대출 채무의 인수를 마치지 아니한 경우
3. 본인 및 배우자가 담보주택에서 다른 장소로 이사한 경우. 다만, 이사한 주택을 담보주택으로 변경하는 경우는 제외한다.
4. 본인 및 배우자가 1년이상 계속하여 담보주택에서 거주하지 아니한 경우. 다만, 입원 등 공사의 사장이 정하여 인터넷 홈페이지에 공고하는 불가피한 사유 로 거주하지 아니한
경우를 제외한다.
5. 본인이 담보주택의 소유권을 상실한 경우(신탁계약에 따른 주택담보노후연금보증부 대출의 경우는 제외한다.)
6. 보증부대출 원리금이 근저당권의 채권최고액 또는 신탁 수익권의 한도액을 초과할 것으로 예상되는 경우로서 채권자나 공사의 채권최고액 또는 신탁 수익권의
한도액 변경 요구에 응하지 아니한 경우
7. 선순위채권 상환용도의 개별인출금이 지급된 날로부터 1개월이 경과할 때까지 선순위채권이 상환되지 않은 경우
8.법원의 판결등에 의하여 신탁계약 또는 근저당권 설정계약이 무효 취소되는 경우
9.본인 또는 배우자가 신탁계약을 위반하여 담보주택에 대하여 채권 보전에 지장이 발생할 것으로 예상되는 경우로서 공사가 위반 사유의 해소를 요구하였음 에도
불구하고 해소하지 아니한 경우
10. 제1호 내지 제9호의 사유 외에 공사가 따로 정하여 은행 및 채무자에게 통지한 사유가 발생한 경우"
KB_bank,대출,Ⅶ 주택담보노후연금대출용 대출거래약정서,7,대출금 상환 또는 채무인수 의무,"1. 이 약정에 의한 대출금의 중도상환시 본인은 별도의 중도상환수수료는 부담하지 아니합니다.
2. 제1항에 의한 중도상환의 경우 기사용한 개별인출금과 그에 따른 대출이자와 보증료 합계 중 일부 또는 전부를 상환하는 경우가 아니면 주택가격 상승         또는
일부상환으로 인한 대출잔액 감소 등의 사유로 이미 결정된 제1조 제9항의 월지급금 및 개별인출한도의 증액 또는 재산정을 요청하지 아니하겠습니다.
3. 대출을 받은 후 당해 담보주택(대지 포함)의 소유권을 배우자로 이전한 경우에는 보증을 받을 당시부터 계속하여 법률상 혼인관계에 있는 배우자로 하여금 채무를
인수하게 하거나 대출금 전액을 상환합니다."
KB_bank,대출,Ⅶ 주택담보노후연금대출용 대출거래약정서,8,채권의 행사범위,"이 약정에 의한 은행의 주택담보노후연금대출채권은 공사에 대한 보증채무 이행을 청구하는 경우를 제외하고는 공사에 담보제공한 당해 담보주택에 대하여만 행사할 수
있으되, 다음 각 호의 어느 하나에 해당하는 사유로 인하여 담보주택의 처분대가로부터 회수하지 못한 금액에 대하여는 본인의 다른 재산으로부터 채권을 행사하여 회수할
수 있습니다.
1. 국세기본법 제35조 제1항 및 지방세법 제31조 제1항에 따른 조세채권
2. 근로기준법 제38조 제2항에 따른 임금채권
3. 본인 및 배우자 모두 사망 등 제6조에서 정한 계약해지 사유가 발생한 후에 지급된 제3조 제1호 또는 제2호의 대출금
4. 본인의 고의·중과실에 의하여 담보주택이 훼손되어 회수하지 못하는 금액"
KB_bank,대출,Ⅶ 주택담보노후연금대출용 대출거래약정서,9,채권의 양도 승낙 등,"1. 대출기간 중 다음 각 호의 어느 하나의 사유가 발생한 때에는 은행은 소정의 절차에 따라 본인이 부담할 주택담보노후연금대출 채권을 본인에게 별도의 통지 없이
공사에 양도할 수 있음에 대하여 미리 승낙합니다.
① 제3조 제1호 내지 제4호의 기 지급된 주택담보노후연금대출의 원리금이 담보주택의 가격을 초과하는 경우
② 「채무자회생 및 파산에 관한 법률」에 따라 은행이 파산선고 등의 사유가 발생하여 주택연금 계속지급이 불가능한 경우
2. 은행이 제1항에 따른 주택담보노후연금대출 채권을 공사에 양도한 경우 은행이 본인에 대하여 가지는 모든 권리·의무를 공사가 승계하는 것으로 합니다."
KB_bank,대출,Ⅶ 주택담보노후연금대출용 대출거래약정서,10,인지세의 부담,"1. 이 약정서 작성에 따른 인지세는 각 50%씩 본인과 은행이 부담합니다.
2. 제1항에 의하여 본인이 부담하기로 한 인지세를 은행이 대신 지급한 경우에는 은행여신거래기본약관(가계용) 제4조에 준하여 갚기로 합니다."
KB_bank,대출,Ⅶ 주택담보노후연금대출용 대출거래약정서,11,은행여신거래기본약관(가계용)의 적용,"1. 본 약정서에 추가하여 은행여신거래기본약관(가계용)이 적용됩니다. 추후 은행여신거래기본약관(가계용)이 변경될 경우에는 변경된 바에 따릅니다.
2. 주택담보노후연금대출에 있어서는 제6조 각호의 사유에 해당이 되지 않으면 은행여신거래기본약관상(가계용)의 기한의 이익 상실 사유가 발생하더라도  제3조에서
정한 대출금을 계속 지급할 수 있도록 합니다. 단, 본인이 공사의 승낙을 받아 지급정지를 요청하는 경우에는 지급정지 할 수 있습니다.
수입인지 붙이는 곳"
