chunk_id,doc_id,은행명,상품종류,상품이름,조항,조항이름,text,context
1,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,전문,전문,"은행 용본 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다. 은행은 본인에게 이 약정서상의 중요한 내용을 설명하여야 하며, 은행여신거래기본약관(가계용)과이 약정서의 사본을 교부하여야 합니다. 대출거래약정서( ) (종합통장자동대출 및 가계당좌대출용) (작성일자 : 20 . . ) 1. 본인은 주식회사 국민은행(이하 “은행”)과 아래의 조건에 따라 대출거래를 함에 있어 은행여신거래기본약관(가계용) 및이 약정서 사본을 확실히 수령하고, 주요 내용에 대하여 충분한 설명을 듣고 이해하였습니다. 2. 본인은 개인(신용)정보 조회 수집 이용 제공 동의서를 이해하고 동의하며, 개인(신용)정보 수집 이용 제공에 대한 고객권리안내문에 관해 자세히 설명 듣고 수령하였습니다. 3. 변동금리대출은 대출기간 중 대출이자율이 인상될 수 있으며, 이에 따라 재무적 부담이 증가될 수 있다는 내용에 대하여 충분한 설명을 듣고 이해하였습니다. 주소","국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 전문 전문 은행 용본 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다. 은행은 본인에게 이 약정서상의 중요한 내용을 설명하여야 하며, 은행여신거래기본약관(가계용)과이 약정서의 사본을 교부하여야 합니다. 대출거래약정서( ) (종합통장자동대출 및 가계당좌대출용) (작성일자 : 20 . . ) 1. 본인은 주식회사 국민은행(이하 “은행”)과 아래의 조건에 따라 대출거래를 함에 있어 은행여신거래기본약관(가계용) 및이 약정서 사본을 확실히 수령하고, 주요 내용에 대하여 충분한 설명을 듣고 이해하였습니다. 2. 본인은 개인(신용)정보 조회 수집 이용 제공 동의서를 이해하고 동의하며, 개인(신용)정보 수집 이용 제공에 대한 고객권리안내문에 관해 자세히 설명 듣고 수령하였습니다. 3. 변동금리대출은 대출기간 중 대출이자율이 인상될 수 있으며, 이에 따라 재무적 부담이 증가될 수 있다는 내용에 대하여 충분한 설명을 듣고 이해하였습니다. 주소"
2,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,1,거래조건  (거래방식이 수 개로 되어 있는 경우 은행 직원의 설명을 듣고 해당되는 “” 내에 “∨” 표시합니다.),⑮ 약정계좌대출(한도)약정 계좌번호 : 은행영업시간 마감이후 자동화기기 또는 전자금융매체를 통한 계좌입금분은 당일 중 상환으로 처리되지 않을 수 있음을 유의하시기 바랍니다. 종합통장자동대출 대출기간 만료일이 토요일 또는 공휴일인 경우에는 직전 영업일 또는 다음 영업일을 대출기간 만료일로 하기로 합니다.,국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 1 거래조건  (거래방식이 수 개로 되어 있는 경우 은행 직원의 설명을 듣고 해당되는 “” 내에 “∨” 표시합니다.) ⑮ 약정계좌대출(한도)약정 계좌번호 : 은행영업시간 마감이후 자동화기기 또는 전자금융매체를 통한 계좌입금분은 당일 중 상환으로 처리되지 않을 수 있음을 유의하시기 바랍니다. 종합통장자동대출 대출기간 만료일이 토요일 또는 공휴일인 경우에는 직전 영업일 또는 다음 영업일을 대출기간 만료일로 하기로 합니다.
3,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제1조,,"제3항의 대출(한도)금액에 여유가 있음에도 불구하고, 대출금 인출을 제한할 수 있습니다. 이 경우 은행은 그 사실을 채무자에게 즉시 통지합니다 . ② 제 1항에서 정한 사유가 해결되어 없어져서 정상적 여신거래가 가능한 경우에는 은행은 인출 제한을 해제하기로 합니다.","국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제1조 제3항의 대출(한도)금액에 여유가 있음에도 불구하고, 대출금 인출을 제한할 수 있습니다. 이 경우 은행은 그 사실을 채무자에게 즉시 통지합니다 . ② 제 1항에서 정한 사유가 해결되어 없어져서 정상적 여신거래가 가능한 경우에는 은행은 인출 제한을 해제하기로 합니다."
4,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,3,기타 특약사항,본인 : (서명 또는 인),국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 3 기타 특약사항 본인 : (서명 또는 인)
5,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제1조,,"제7항의 대출이자율 중 「MOR」 또는 「COFIX」를 기준으로 약정하는 대출의 경우, 대출을 실행하는 날의 「MOR」 또는 「COFIX」 금리에 따라 고객님의 대출이자 율이 적용됩니다. 이 경우에는 실제 적용할 대출이자율을 대출거래장에 표시하고, 개별통지는 생략합니다. 다만, 대출실행내역 통지서비스를 신청한 고객에게는 신청 한 통지방법에 따라 개별통지 합니다. ②","국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제1조 제7항의 대출이자율 중 「MOR」 또는 「COFIX」를 기준으로 약정하는 대출의 경우, 대출을 실행하는 날의 「MOR」 또는 「COFIX」 금리에 따라 고객님의 대출이자 율이 적용됩니다. 이 경우에는 실제 적용할 대출이자율을 대출거래장에 표시하고, 개별통지는 생략합니다. 다만, 대출실행내역 통지서비스를 신청한 고객에게는 신청 한 통지방법에 따라 개별통지 합니다. ②"
6,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제1조,,제7항의 「MOR」 과 「COFIX」는 다음 각 호와 같이 결정됩니다. 1. 「MOR」 : 「MOR」은,국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제1조 제7항의 「MOR」 과 「COFIX」는 다음 각 호와 같이 결정됩니다. 1. 「MOR」 : 「MOR」은
7,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제1조,,"제7항에서 선택한 「금리재산정주기」 또는 고정금리기간에 따라 결정됩니다. 「금리재산정주기」 또는 고정금리기간이 「3개월」인 경우 「MOR」 은 「CD 91 일물 유통수익률」, 「6개월」 이상인 경우 「MOR」은 「금리재산정주기」 또는 고정금리기간과 동일한 잔존만기를 가진 「AAA 등급 금융채유통수익률」을 각각 사용합니다. 현재 은행이 사용하는 「MOR」 중 「CD91일물 유통수익률」은 한국은행, 「금융채유통수익률」은 금융투자협회가 고시하는 전주 최종영업일 전 영업일 종가 입니다. 이 「MOR」의 적용기준은 금융환경의 변화(예 : 91일물 CD 거래 없음) 등 불가피한 사정이 발생할 경우 변경될 수 있습니다. 이 경우 은행은 영업점 게시판, 인터넷 매체 등을 통해 고시하기로 합니다. 2. 「COFIX」 : 「COFIX」는 대출실행일 직전 영업일 전국은행연합회에 최종 고시되어 있는 「신규취급액기준 COFIX」,「신 잔액기준 COFIX」, 「잔액기준 COFIX」 중 고객 이 약정을 할때 선택한 금리를 적용합니다. 이 「COFIX」의 적용기준은 금융환경의 변화(예 : COFIX 전국은행연합회 고시 없음) 등 불가피한 사정이 발생할 경우 변 경될 수 있습니다. 이 경우 은행은 영업점 게시판, 인터넷 매체 등을 통해 고시하기로 합니다. ③ 대출실행일에 결정된 대출이자율은 다음 각 호와 같이 변동됩니다. 1.","국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제1조 제7항에서 선택한 「금리재산정주기」 또는 고정금리기간에 따라 결정됩니다. 「금리재산정주기」 또는 고정금리기간이 「3개월」인 경우 「MOR」 은 「CD 91 일물 유통수익률」, 「6개월」 이상인 경우 「MOR」은 「금리재산정주기」 또는 고정금리기간과 동일한 잔존만기를 가진 「AAA 등급 금융채유통수익률」을 각각 사용합니다. 현재 은행이 사용하는 「MOR」 중 「CD91일물 유통수익률」은 한국은행, 「금융채유통수익률」은 금융투자협회가 고시하는 전주 최종영업일 전 영업일 종가 입니다. 이 「MOR」의 적용기준은 금융환경의 변화(예 : 91일물 CD 거래 없음) 등 불가피한 사정이 발생할 경우 변경될 수 있습니다. 이 경우 은행은 영업점 게시판, 인터넷 매체 등을 통해 고시하기로 합니다. 2. 「COFIX」 : 「COFIX」는 대출실행일 직전 영업일 전국은행연합회에 최종 고시되어 있는 「신규취급액기준 COFIX」,「신 잔액기준 COFIX」, 「잔액기준 COFIX」 중 고객 이 약정을 할때 선택한 금리를 적용합니다. 이 「COFIX」의 적용기준은 금융환경의 변화(예 : COFIX 전국은행연합회 고시 없음) 등 불가피한 사정이 발생할 경우 변 경될 수 있습니다. 이 경우 은행은 영업점 게시판, 인터넷 매체 등을 통해 고시하기로 합니다. ③ 대출실행일에 결정된 대출이자율은 다음 각 호와 같이 변동됩니다. 1."
8,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제1조,,제7항의 「변동금리」 또는 「혼합금리」 대출의 대출기간 만료일 이내 가. 「MOR」에 연동하는 대출 : 대출실행일부터 매 「금리재산정주기」가 도래하는 날에 제2항에 의해 정해진 「MOR」과,국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제1조 제7항의 「변동금리」 또는 「혼합금리」 대출의 대출기간 만료일 이내 가. 「MOR」에 연동하는 대출 : 대출실행일부터 매 「금리재산정주기」가 도래하는 날에 제2항에 의해 정해진 「MOR」과
9,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제9조,,에 의해 정해진 우대금리 적용기준에 따라 재산정됩니다. 나. 「COFIX」에 연동하는 대출 : 대출실행일부터 매 「금리재산정주기」가 도래하는 날 직전 영업일 전국은행연합회에 최종 고시되어 있는 「COFIX」와,국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제9조 에 의해 정해진 우대금리 적용기준에 따라 재산정됩니다. 나. 「COFIX」에 연동하는 대출 : 대출실행일부터 매 「금리재산정주기」가 도래하는 날 직전 영업일 전국은행연합회에 최종 고시되어 있는 「COFIX」와
10,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제9조,,"에 의해 정 해진 우대금리 적용기준에 따라 재산정됩니다. 다. 「수신(신탁)금리」에 연동하는 대출 : 수신(신탁)금리가 변동된 날에 대출이자율이 변동됩니다. 다만, 복수예금을 담보로 한 대출은 이자납부 시점의 담보제공금액 을 기준으로 재산출한 가중평균 수신금리에 따라 대출이자율이 변동되고, 또한 일부상환 등에 따라 채무자의 신청에 의해 담보예금별 담보제공금액이 변경되는 경우 변경된 담보제공금액을 기준으로 재산출한 가중평균 수신금리에 따라 대출이자율이 변동됩니다. 라. 「기타」 대출 : 은행과 협약기관(또는 고객)이 별도 정한 바에 따라 이자율이 변동됩니다. 2.","국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제9조 에 의해 정 해진 우대금리 적용기준에 따라 재산정됩니다. 다. 「수신(신탁)금리」에 연동하는 대출 : 수신(신탁)금리가 변동된 날에 대출이자율이 변동됩니다. 다만, 복수예금을 담보로 한 대출은 이자납부 시점의 담보제공금액 을 기준으로 재산출한 가중평균 수신금리에 따라 대출이자율이 변동되고, 또한 일부상환 등에 따라 채무자의 신청에 의해 담보예금별 담보제공금액이 변경되는 경우 변경된 담보제공금액을 기준으로 재산출한 가중평균 수신금리에 따라 대출이자율이 변동됩니다. 라. 「기타」 대출 : 은행과 협약기관(또는 고객)이 별도 정한 바에 따라 이자율이 변동됩니다. 2."
11,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제1조,,"제7항의 「고정금리」, 「변동금리」, 「혼합금리」 대출의 대출기간 만료일 이후 : 기한연장 시점에 은행이 정한 기준을 따르기로 합니다.","국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제1조 제7항의 「고정금리」, 「변동금리」, 「혼합금리」 대출의 대출기간 만료일 이후 : 기한연장 시점에 은행이 정한 기준을 따르기로 합니다."
12,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제7조,,제4항에 의한 미납이자를 이자② 납기일 부터 1개월(주택담보대출의 경우 2개월)간 지체한 때등 은행여신거래기본약관(가계용),국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제7조 제4항에 의한 미납이자를 이자② 납기일 부터 1개월(주택담보대출의 경우 2개월)간 지체한 때등 은행여신거래기본약관(가계용)
13,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제7조,,"에 의하여 기한의 이익을 상실한 때에는, 그 다음 날부터 대출잔액 에 대하여 지연배상금을 지급하기로 합니다. ③","국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제7조 에 의하여 기한의 이익을 상실한 때에는, 그 다음 날부터 대출잔액 에 대하여 지연배상금을 지급하기로 합니다. ③"
14,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제11조,,제4항 및 제5항의 경우 상계 후의 대출금 잔액에 대하여 그 다음 날부터 지연배상금을 지급하기로 합니다. ④ 이자를 원금에 가산하는 것은,국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제11조 제4항 및 제5항의 경우 상계 후의 대출금 잔액에 대하여 그 다음 날부터 지연배상금을 지급하기로 합니다. ④ 이자를 원금에 가산하는 것은
15,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제1조,,"제3항에서 정한 대출(한도)금액 이내에서만 가능하며, 한도금액 부족으로 원금에 가산되지 못한 미납이자 및 한도초과지급으로 인한 한도초과금액에 대하여 한도초과된 다음 날부터 지연배상금을 지급하기로 합니다. 지연배상금률은","국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제1조 제3항에서 정한 대출(한도)금액 이내에서만 가능하며, 한도금액 부족으로 원금에 가산되지 못한 미납이자 및 한도초과지급으로 인한 한도초과금액에 대하여 한도초과된 다음 날부터 지연배상금을 지급하기로 합니다. 지연배상금률은"
16,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제1조,,"제7항에 의해 결정된 대출이자율에 연체가산율 연3%를 더하여 결정되며, 최고 지연배상금률은 아래와 같습니다.⑤ 연15%. 다만,","국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제1조 제7항에 의해 결정된 대출이자율에 연체가산율 연3%를 더하여 결정되며, 최고 지연배상금률은 아래와 같습니다.⑤ 연15%. 다만,"
17,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제1조,,제7항의 대출이자율이 최고 지연배상금률 이상인 경우 지연배상금률은 대출이자율에 연2%를 더한 율을 적용하기로 합니다.,국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제1조 제7항의 대출이자율이 최고 지연배상금률 이상인 경우 지연배상금률은 대출이자율에 연2%를 더한 율을 적용하기로 합니다.
18,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제1조,,제10항에서 정한 율을 적용하기로 하며 대출기간 중에 담보변경 등이 있는 경우에도 대출취급 당시의 수수료율에 따르기로 합니다. 2. 잔존일수는 상환방법에 관계없이,국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제1조 제10항에서 정한 율을 적용하기로 하며 대출기간 중에 담보변경 등이 있는 경우에도 대출취급 당시의 수수료율에 따르기로 합니다. 2. 잔존일수는 상환방법에 관계없이
19,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제1조,,"제4항의 대출개시일로부터 대출기간 만료일까지의 일수에서 상환(한도해지 또는 한도감액)일까지의 경과일수를 차감하여 계 산하되, 대출개시일로부터 대출기간 만료일(기한연장 포함)까지의 일수가 3년을 초과하는 경우에는 3년째 되는 날을 대출기간 만료일로 합니다. 3. 대출기간은 대출실행방법에 관계없이","국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제1조 제4항의 대출개시일로부터 대출기간 만료일까지의 일수에서 상환(한도해지 또는 한도감액)일까지의 경과일수를 차감하여 계 산하되, 대출개시일로부터 대출기간 만료일(기한연장 포함)까지의 일수가 3년을 초과하는 경우에는 3년째 되는 날을 대출기간 만료일로 합니다. 3. 대출기간은 대출실행방법에 관계없이"
20,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제1조,,"제4항의 대출개시일로부터 대출기간 만료일까지의 일수로 계산하되, 대출개시일로부터 대출기간 만료일(기한연장 포함) 까지의 일수가 3년을 초과하는 경우에는 3년째 되는 날을 대출기간 만료일로 합니다. ③ 제1항에 불구하고 다음 각호의 1에 해당하는 경우 또는 은행에서 별도로 정한 경우에는 중도상환수수료를 면제합니다. 1. 매월 납부하는 할부금에 포함된 대출원금 2. 기한의 이익상실 등으로 은행이 법적조치(경매, 소송 등)를 통해 대출금을 기일 전에 회수하는 경우 3. 은행여신거래기본약관(가계용)","국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제1조 제4항의 대출개시일로부터 대출기간 만료일까지의 일수로 계산하되, 대출개시일로부터 대출기간 만료일(기한연장 포함) 까지의 일수가 3년을 초과하는 경우에는 3년째 되는 날을 대출기간 만료일로 합니다. ③ 제1항에 불구하고 다음 각호의 1에 해당하는 경우 또는 은행에서 별도로 정한 경우에는 중도상환수수료를 면제합니다. 1. 매월 납부하는 할부금에 포함된 대출원금 2. 기한의 이익상실 등으로 은행이 법적조치(경매, 소송 등)를 통해 대출금을 기일 전에 회수하는 경우 3. 은행여신거래기본약관(가계용)"
21,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제10조,은행으로부터 상계,"의 사유로 예금과 대출금의 전부 또는 일부를 상계하는 경우 4. 잔여대출기간이 3개월 미만인 경우. 다만, 잔여대출기간은 기한전 중도상환일 다음날부터 대출기간 만료일까지 기간으로서 월단위 미만은 버립니다.","국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제10조 은행으로부터 상계 의 사유로 예금과 대출금의 전부 또는 일부를 상계하는 경우 4. 잔여대출기간이 3개월 미만인 경우. 다만, 잔여대출기간은 기한전 중도상환일 다음날부터 대출기간 만료일까지 기간으로서 월단위 미만은 버립니다."
22,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제1조,,제3항의 대출한도를 초과하여 지급할 수 있습니다. 이 경우 본인은 초과된 금액을 곧 갚기로 합니다. ④ 이자 및 지연배상금은 모계좌에서 인출하거나,국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제1조 제3항의 대출한도를 초과하여 지급할 수 있습니다. 이 경우 본인은 초과된 금액을 곧 갚기로 합니다. ④ 이자 및 지연배상금은 모계좌에서 인출하거나
23,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제1조,,"제3항의 한도금액 이내에서만 대출금에 더하기로 하며, 한도금액 부족으로 원금에 가산되지 못한 미납이자는 곧갚 기로 합니다. ⑤ 원금에 가산된 이자가 한도금액에 도달하여 한도금액의 부족으로 이자의 일부라도 원금에 가산되지 않은 경우에는, 그 부족금액을 곧 변제하거나 해당 모계좌에 변제를 위하여 입금하기로 하며, 모계좌에 입금된 자금은 미납이자 및 지연배상금 변제에 최우선적으로 충당하기로 합니다.","국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제1조 제3항의 한도금액 이내에서만 대출금에 더하기로 하며, 한도금액 부족으로 원금에 가산되지 못한 미납이자는 곧갚 기로 합니다. ⑤ 원금에 가산된 이자가 한도금액에 도달하여 한도금액의 부족으로 이자의 일부라도 원금에 가산되지 않은 경우에는, 그 부족금액을 곧 변제하거나 해당 모계좌에 변제를 위하여 입금하기로 하며, 모계좌에 입금된 자금은 미납이자 및 지연배상금 변제에 최우선적으로 충당하기로 합니다."
24,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,8,가계당좌예금을 모계좌로 하는 대출특약,"① 모계좌가 가계당좌예금인 종합통장자동대출 및 가계당좌대출의 경우, 이 약정에 의하여 본인이 발행한 수표를 지급함으로써 은행에 대해 구상채무(채무자가 돈을 대신 갚아준 사람(또는 기관)에게 부담하는 채무)를 지게된 때에는, 이를 대출금 채무로 삼아 이 약정에 따라 갚기로 합니다. ② 모계좌가 가계당좌예금인 종합통장자동대출 및 가계당좌대출의 경우, 은행은 수표의 지급거절에 따른 본인의 불이익이 현저하게 크다고 예상되는 등 필요한 경우, 본인이 대출기간 만료일전에 발행된 수표를 대출기간만료일 이후에도 지급할 수 있으며, 이로 인하여 생긴 대출금에 대하여도 이 약정이 적용됩니다. 은행용","국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 8 가계당좌예금을 모계좌로 하는 대출특약 ① 모계좌가 가계당좌예금인 종합통장자동대출 및 가계당좌대출의 경우, 이 약정에 의하여 본인이 발행한 수표를 지급함으로써 은행에 대해 구상채무(채무자가 돈을 대신 갚아준 사람(또는 기관)에게 부담하는 채무)를 지게된 때에는, 이를 대출금 채무로 삼아 이 약정에 따라 갚기로 합니다. ② 모계좌가 가계당좌예금인 종합통장자동대출 및 가계당좌대출의 경우, 은행은 수표의 지급거절에 따른 본인의 불이익이 현저하게 크다고 예상되는 등 필요한 경우, 본인이 대출기간 만료일전에 발행된 수표를 대출기간만료일 이후에도 지급할 수 있으며, 이로 인하여 생긴 대출금에 대하여도 이 약정이 적용됩니다. 은행용"
25,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제1조-1,,"제7항의 대출이자율은 대출 실행시 아래 선택 항목의 우대금리가 적용되며, 하기로 확인합니다. 은행 금리 우대 항목 ( ) 금리 우대 항목 ( ) 대출신규일로부터 3개월간 적용하며, 이후(기한연장 포함) 1개월 단위로 금리우대 조건 이행 시 자동연장② 금리우대항목( )에 의한 우대기간은 됩니다. 만약, 매월 상기금리우대 조건을 이행하지 않거나 유지되지 않을 경우에는 우대받은 금리가 자동으로 인상되며, 금리인상 후 상기 조건을 재이행하는 경우에는 금리우 대가 재적용됩니다. 인상된 금리변동내역은 신청하신 이자통지/금리변경내역 통지 서비스에 따라 본인에게 통보됩니다. 우대금리재산정시 아래 기준에 따라 우대금리가 적용되며, 항목별로 별도의 정함이 있는 경우 그에 따르기로 합니다.③ 우대금리 세부 적용기준 : 1. 신용카드 이용실적 우대 : 결제계좌가 당행인 「KB국민카드」 의 개인신용카드 이용실적이 있는 경우 최근 3개월 카드이용금액에 따라 차등 적용합니다. 가. 나. 실적산정기간 최종월의 익월 5일까지 KB국민카드 에 신용카드 이용전표(취소전표 포함)가 매입되지 않은 경우 해당 이용금액(취소금액 포함)은 다음 금리산정 기간의 실적으로 반영됩니다. 다. 신용카드 이용금액에서 현금 계좌간 자동이체는 제외 2. 자동이체 실적우대 : 본인 계좌로 있는 경우에 인정되며, 됩니다. 대출실 1일 10일전전월전월말기준 2건이상 자동이체 출금실적행일이 인 경우 인 경우 을 적용합니다. 3. 급여(연금)이체 관련 실적우대 전월말기준 최근 3개월간 2회 이상 가. 은행에 급여(연금)이체 계약이 등록되어 우대금리재산정시점 본인 계좌로 급여(연금)이체 실적이 확인되는 경우 전월말기준 최근 3개월간 2회 이상 나. 은행에 급여(연금)임을 알수 있는 방법으로 우대금리재산정시점 본인 계좌로 건별 50만원 이상 이체 실적이 확인되는 경우 [ 다. 「KB급여이체 신용대출」 기본 우대의 경우 ‘가’ 항의 조건을 충족하는 경우에 한하여 우대금리를 적용합니다. 전일기준(전자금융의 경우 전일기준 최근 1개월 이내) 4. 예금/전자금융 관련 실적우대 : 우대금리재산정시점 제1항에서 정한 실적기준이 충족되는 경우 적용합니다. 5. 기타 거래실적 등에 의한 우대( ) : 은행 거래실적이 우수하거나 거래실적 증대가 예상되는 경우 제1항에서 정한 우대기간까지 적용합니다. 6. 종합통장자동대출 한도소진율에 의한 우대 : 개인신용평가시스템에 의해 산출된 은행신용등급(이하 ‘신용등급’) 및 종합통장자동대출 한도소진율에 따라 매월 가. 종합통장자동대출 한도소진율에 의한 우대금리는 은행에서 정한 신용대출에 한하여 적용합니다.(일부 협약대출 적용제외)","국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제1조-1 제7항의 대출이자율은 대출 실행시 아래 선택 항목의 우대금리가 적용되며, 하기로 확인합니다. 은행 금리 우대 항목 ( ) 금리 우대 항목 ( ) 대출신규일로부터 3개월간 적용하며, 이후(기한연장 포함) 1개월 단위로 금리우대 조건 이행 시 자동연장② 금리우대항목( )에 의한 우대기간은 됩니다. 만약, 매월 상기금리우대 조건을 이행하지 않거나 유지되지 않을 경우에는 우대받은 금리가 자동으로 인상되며, 금리인상 후 상기 조건을 재이행하는 경우에는 금리우 대가 재적용됩니다. 인상된 금리변동내역은 신청하신 이자통지/금리변경내역 통지 서비스에 따라 본인에게 통보됩니다. 우대금리재산정시 아래 기준에 따라 우대금리가 적용되며, 항목별로 별도의 정함이 있는 경우 그에 따르기로 합니다.③ 우대금리 세부 적용기준 : 1. 신용카드 이용실적 우대 : 결제계좌가 당행인 「KB국민카드」 의 개인신용카드 이용실적이 있는 경우 최근 3개월 카드이용금액에 따라 차등 적용합니다. 가. 나. 실적산정기간 최종월의 익월 5일까지 KB국민카드 에 신용카드 이용전표(취소전표 포함)가 매입되지 않은 경우 해당 이용금액(취소금액 포함)은 다음 금리산정 기간의 실적으로 반영됩니다. 다. 신용카드 이용금액에서 현금 계좌간 자동이체는 제외 2. 자동이체 실적우대 : 본인 계좌로 있는 경우에 인정되며, 됩니다. 대출실 1일 10일전전월전월말기준 2건이상 자동이체 출금실적행일이 인 경우 인 경우 을 적용합니다. 3. 급여(연금)이체 관련 실적우대 전월말기준 최근 3개월간 2회 이상 가. 은행에 급여(연금)이체 계약이 등록되어 우대금리재산정시점 본인 계좌로 급여(연금)이체 실적이 확인되는 경우 전월말기준 최근 3개월간 2회 이상 나. 은행에 급여(연금)임을 알수 있는 방법으로 우대금리재산정시점 본인 계좌로 건별 50만원 이상 이체 실적이 확인되는 경우 [ 다. 「KB급여이체 신용대출」 기본 우대의 경우 ‘가’ 항의 조건을 충족하는 경우에 한하여 우대금리를 적용합니다. 전일기준(전자금융의 경우 전일기준 최근 1개월 이내) 4. 예금/전자금융 관련 실적우대 : 우대금리재산정시점 제1항에서 정한 실적기준이 충족되는 경우 적용합니다. 5. 기타 거래실적 등에 의한 우대( ) : 은행 거래실적이 우수하거나 거래실적 증대가 예상되는 경우 제1항에서 정한 우대기간까지 적용합니다. 6. 종합통장자동대출 한도소진율에 의한 우대 : 개인신용평가시스템에 의해 산출된 은행신용등급(이하 ‘신용등급’) 및 종합통장자동대출 한도소진율에 따라 매월 가. 종합통장자동대출 한도소진율에 의한 우대금리는 은행에서 정한 신용대출에 한하여 적용합니다.(일부 협약대출 적용제외)"
